"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"MISINFO","2026-09-23","16:00","Mission d’information sur les mesures et dispositifs mis en œuvre par l’État pour renforcer la protection des personnels éducatifs à la suite de l’assassinat de Samuel Paty","- audition de M. David di Nota, auteur de J’ai exécuté un chien de l’enfer : rapport sur l’assassinat de Samuel Paty."
"COMPER","2026-09-30","09:00","Commission de la défense nationale et des forces armées","audition, à huis clos, du général d’armée aérienne Fabien Mandon, chef d’état major des armées, sur l’actualité géopolitique et militaire ;autorisation de publication du recueil des auditions du cycle sur « Guerre hybride et continuum de conflictualités » ;nomination d’un rapporteur sur la proposition de loi pour étendre le statut et les conditions d’attribution de la mention « Mort pour le service de la Nation » (n° 1553)."
"MISINFO","2026-09-22","16:30","Mission d'information : Arcom : nouveaux usages, nouveaux enjeux","audition de RMC BFM – Mme Alix de Montesquieu, directrice des affaires publiques de CMA Media."
"MISINFO","2026-09-22","15:00","Mission d'information sur l'avenir de la cavalerie","audition de M. Marc Chassillan, expert en armement."
"MISINFO","2026-09-23","16:30","Mission d'information sur l'avenir de la cavalerie","audtion des représentants de Thalès : Général d’armée Bernard Barrera, Conseiller Défense Terre ; M. Cyrille Guetin, Directeur technique ; et M. François Xavier Héon, responsable des Relations gouvernementales et Conseiller opérationnel Milieu Terre."
"COMPER","2026-09-30","17:00","Commission de la défense nationale et des forces armées","audition commune, ouverte à la presse et conjointe avec les commissions des affaires économiques et des affaires étrangères, de Mme Catherine Vautrin, ministre des Armées et des Anciens combattants, M. Sébastien Martin, ministre délégué chargé de l’Industrie, et Mme Éléonore Caroit, ministre déléguée chargée de la Francophonie, des Partenariats internationaux et des Français de l’étranger, relative aux rapports annuels du Gouvernement au Parlement de juillet 2026 sur les exportations d’armement et les exportations des biens à double usage de la France."
"MISINFO","2026-09-22","17:30","Mission d'information : Arcom : nouveaux usages, nouveaux enjeux","audition de NRJ Group – Mme Maryam Salehi, directrice déléguée à la direction générale, Mme Philippine Brisset, responsable des relations institutionnelles, et Mme Laetitia Faivre, secrétaire générale."
"GA","2026-09-22","00:00","France-Portugal",""
"MISINFO","2026-09-22","14:00","Mission d'information sur l'ouverture de la voie du Nord et les enjeux de défense","audition de M. Frédéric Lasserre, professeur au département de géographie de l'Université Laval (Québec), directeur du Conseil Québécois d’Études géopolitiques (CQEG)."
"DELEG","2026-09-29","16:30","Délégation de l'Assemblée nationale aux droits des femmes et à l'égalité des chances entre les hommes et les femmes","examen du rapport, ouvert à la presse, de la mission d'information sur le coût des violences sexistes et sexuelles et l’accompagnement des victimes (Mmes Sandrine Josso et Élise Leboucher, rapporteures). "
"GA","2026-10-05","00:00","France-Cameroun",""
"DELEG","2026-10-13","16:30","Délégation aux collectivités territoriales et à la décentralisation","audition, ouverte à la presse, de Mme Françoise Gatel, ministre de l’Aménagement du territoire et de la Décentralisation."
"MISINFOPRE","2026-09-30","15:00","Mission d'information sur le maillage scolaire à l'épreuve du défi démographique","audition conjointe, ouverte à la presse, des syndicats représentatifs des personnels d’inspection pour le premier degré public :syndicat unitaire de l’inspection pédagogique (SUI-FSU) – M. Régis Debats, secrétaire général adjoint ;syndicat de l’inspection de l’éducation nationale (SIEN-UNSA) – sous réserve de confirmation."
"COMPER","2026-09-22","16:30","Commission des finances, de l'économie générale et du contrôle budgétaire","audition de M. Bernard Lejeune, président de la sixième chambre de la Cour des comptes, sur l’enquête demandée à la Cour des comptes en application du 2° de l’article 58 de la LOLF relative aux retraites des fonctionnaires."
"COMPER","2026-09-23","15:00","Commission des affaires sociales","table ronde sur les dispositifs médicaux gynécologiques réunissant (sous réserve de confirmation) :association Balance ta bandelette : Mme Anne-Laure Castelli, présidente, et Mme Françoise Chestier, membre du conseil d’administration ;association Diva ;france Assos Santé : M. Yann Mazens ;collège national des gynécologues et obstétriciens français : Pr Xavier Deffieux ;Pr Benoît Peyronnet, chirurgien urologue (CHU de Rennes), responsable du comité d’urologie et de pelvi-périnéologie de la femme de l’Association française d’urologie."
"COMPER","2026-09-23","15:00","Commission des finances, de l'économie générale et du contrôle budgétaire","table ronde sur le financement de la souveraineté numérique : audition de Mme Ophélie Coelho, chercheuse associée à l’IRIS, et de M. Jean-Gabriel Ganascia, professeur des universités."
"CNPE","2026-09-22","14:30","Commission d'enquête sur le coût réel des aides sociales et les effets de désincitation au travail engendrés par leur cumul","audition, ouverte à la presse, de M. Michel Houbedine, directeur de la Direction de l’animation de la recherche, des études et des statistiques (Dares), Mme Yaëlle Hauseux, cheffe de la mission analyse économique (MAE), et M. Raphaël Lardeux, chef du département suivi et indemnisation des demandeurs d'emploi (DSIDE)."
"COMPER","2026-09-24","09:00","Commission des finances, de l'économie générale et du contrôle budgétaire","audition de MM. Xavier Jaravel, Jean-Luc Tavernier et Xavier Ragot, sur le rapport sur la transparence des finances publiques."
