"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM871902","PA794570","Alexandre Sabatou","PO851804","GA","France-Australie","2025-07-01","2025-09-07","Membre"
"PM857863","PA793632","Timothée Houssin","PO851909","GA","France-Qatar","2025-01-23","","Membre"
"PM860990","PA793816","Mélanie Thomin","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-30","","Membre"
"PM860377","PA332523","Marie-Christine Dalloz","PO854380","GE","Cancer","2025-01-28","2025-02-13","Membre"
"PM856518","PA719436","Nicolas Meizonnet","PO854525","GE","Chasse et pêche","2025-01-15","","Membre"
"PM858774","PA841693","Jean Laussucq","PO851724","GA","France-Espagne","2025-01-23","2025-07-11","Membre"
"PM867510","PA794114","Emmanuel Mandon","PO854268","GE","Montagne","2025-03-21","","Membre"
"PM864988","PA841047","François-Xavier Ceccoli","PO851376","GA","France-Italie","2025-02-18","","Membre"
"PM860556","PA793174","Yannick Monnet","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-28","","Membre"
"PM859685","PA721296","Guillaume Gouffier Valente","PO851678","GA","France-Togo","2025-01-27","","Membre"
"PM855253","PA795636","Benjamin Lucas-Lundy","PO854429","GE","Francophonie","2024-12-29","","Membre"
"PM868421","PA841927","Anne-Sophie Ronceret","PO854343","GE","Vigne, vin et œnologie","2025-04-08","2026-04-28","Membre"
"PM862199","PA793166","Jocelyn Dessigny","PO851592","GA","France-Mexique","2025-02-04","","Membre"
"PM858953","PA795386","Mathieu Lefèvre","PO851552","GA","France-Arménie","2025-01-24","2025-11-12","Membre"
"PM875367","PA841295","Pierrick Courbon","PO872299","GE","Amiante","2025-11-04","","Secrétaire"
"PM860735","PA841605","Antoine Golliot","PO851396","GA","France-Mongolie","2025-01-29","","Membre"
"PM862991","PA721024","Anne Genetet","PO851582","GA","France-Philippines","2025-02-03","","Vice-Président"
"PM862378","PA794894","Anaïs Sabatini","PO854525","GE","Chasse et pêche","2025-02-04","","Membre"
"PM858519","PA795900","Marine Hamelet","PO851229","GA","France-Hongrie","2025-01-23","","Membre"
"PM861646","PA841885","Arnaud Bonnet","PO851427","GA","France-Cap-Vert","2025-01-31","","Membre"
"PM857075","PA793270","Jean-François Rousset","PO854434","GE","Élevage et pastoralisme","2025-01-21","","Membre"
"PM856343","PA722252","Marie-Pierre Rixain","PO854152","GE","Économie sociale et solidaire et responsabilité sociétale des entreprises","2025-01-15","","Membre"
"PM869511","PA793146","Nicolas Dragon","PO851517","GA","France-Russie","2025-05-14","","Membre"
"PM863289","PA793656","Lisette Pollet","PO854471","GE","Handicap et inclusion","2025-02-06","","Membre"
"PM855611","PA841981","Catherine Rimbert","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-08","","Membre"
"PM872025","PA794570","Alexandre Sabatou","PO851401","GA","France-Tchad","2025-07-01","2025-09-07","Membre"
"PM866989","PA841613","Marc de Fleurian","PO851437","GA","France-Corée du Sud","2025-03-15","2025-03-17","Membre"
"PM861825","PA267200","Sébastien Huyghe","PO851552","GA","France-Arménie","2025-02-03","","Membre"
"PM857254","PA842045","Julie Ozenne","PO854491","GE","Ruralité","2025-01-22","","Membre"
"PM860381","PA332523","Marie-Christine Dalloz","PO854240","GE","Commerce, artisanat et métiers d'art","2025-01-28","2025-02-13","Membre"
"PM880495","PA870009","Lionel Duparay","PO854323","GE","Logement et écoconstruction","2026-04-08","","Membre"
"PM856522","PA719436","Nicolas Meizonnet","PO854369","GE","Spectacle vivant","2025-01-15","","Membre"
"PM862736","PA840721","Marc Chavent","PO854288","GE","Attractivité économique et export","2025-02-05","","Membre"
"PM858165","PA793246","Frédéric Falcon","PO851269","GA","France-Argentine","2025-01-23","","Membre"
"PM864992","PA841047","François-Xavier Ceccoli","PO854380","GE","Cancer","2025-02-18","","Membre"
"PM860560","PA841825","Patrice Martin","PO851376","GA","France-Italie","2025-01-28","","Membre"
"PM864379","PA642695","Éric Bothorel","PO851239","GA","France-Islande","2025-02-12","","Membre"
"PM856701","PA842311","Vincent Caure","PO854401","GE","Arctique, Antarctique, Terres australes et antarctiques françaises et grands fonds océaniques","2025-01-16","","Membre"
"PM863647","PA330240","Éric Ciotti","PO851376","GA","France-Italie","2025-02-10","","Membre"
"PM859076","PA793548","Caroline Colombier","PO851339","GA","France-Vietnam","2025-01-24","","Membre"
"PM862915","PA795454","Karim Ben Cheikh","PO851688","GA","France-Tunisie","2025-02-05","","Membre"
"PM858344","PA719338","Graziella Melchior","PO854369","GE","Spectacle vivant","2025-01-23","","Membre"
"PM881585","PA840067","Gabriel Tomatis","PO854423","GE","Polices municipales","2026-05-06","","Membre"
"PM860126","PA795844","Karen Erodi","PO851864","GA","France-Timor Est","2025-01-28","","Président"
"PM863826","PA795228","Nadège Abomangoli","PO851304","GA","France-Israël","2025-02-10","","Membre"
"PM859255","PA793416","Freddy Sertin","PO851724","GA","France-Espagne","2025-01-25","2025-11-12","Membre"
"PM862382","PA794894","Anaïs Sabatini","PO854508","GE","Vie associative, éducation populaire et bénévolat","2025-02-04","","Membre"
"PM858523","PA795900","Marine Hamelet","PO851617","GA","France-Kenya Ouganda Tanzanie","2025-01-23","","Membre"
"PM861650","PA267200","Sébastien Huyghe","PO851249","GA","France-Arabie Saoudite","2025-01-31","","Président"
"PM865469","PA840119","Sandra Delannoy","PO851562","GA","France-Bosnie-Herzégovine","2025-02-20","","Membre"
"PM861037","PA805166","Anne Bergantz","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-01-30","","Membre"
"PM863293","PA793656","Lisette Pollet","PO851487","GA","France-Cameroun","2025-02-06","","Membre"
"PM860305","PA793844","Pascale Bordes","PO851386","GA","France-Royaume des Pays-Bas","2025-01-28","2026-04-13","Membre"
"PM866993","PA841613","Marc de Fleurian","PO851658","GA","France-Danemark","2025-03-15","2025-03-17","Membre"
"PM859434","PA794718","Christine Engrand","PO851673","GA","France-Allemagne","2025-01-27","","Membre"
"PM855002","PA720342","Nicole Le Peih","PO854460","GE","Sahara occidental","2024-12-23","","Membre"
"PM865648","PA794138","Ségolène Amiot","PO854465","GE","Gens du voyage","2025-02-20","","Vice-Président"
"PM881943","PA794094","Mickaël Bouloux","PO851729","GA","France-Irak","2026-05-19","","Membre"
"PM861216","PA267561","Brigitte Barèges","PO854525","GE","Chasse et pêche","2025-01-30","2025-07-11","Membre"
"PM864916","PA719528","Jean-François Portarrieu","PO851355","GA","France-Amérique centrale","2025-02-18","","Vice-Président"
"PM863472","PA608826","Virginie Duby-Muller","PO851724","GA","France-Espagne","2025-02-06","","Membre"
"PM862740","PA841761","Aurélien Dutremble","PO854278","GE","Déserts médicaux et accès aux soins","2025-02-05","","Membre"
"PM862127","PA721004","Amélia Lakrafi","PO851779","GA","France-Egypte","2025-01-31","","Vice-Président"
"PM865827","PA841769","Éric Michoux","PO854411","GE","Industries de défense","2025-03-03","","Vice-Président"
"PM864383","PA642695","Éric Bothorel","PO851339","GA","France-Vietnam","2025-02-12","","Membre"
"PM863651","PA841381","Sophie Pantel","PO851339","GA","France-Vietnam","2025-02-10","","Membre"
"PM859080","PA795466","Ersilia Soudais","PO851339","GA","France-Vietnam","2025-01-24","","Membre"
"PM863038","PA795888","Marie-Ange Rousselot","PO851492","GA","France-Suisse","2025-01-24","2025-11-05","Vice-Président"
"PM879194","PA227089","Valérie Létard","PO854391","GE","Villes et banlieues","2026-02-25","","Membre"
"PM865294","PA720154","Nicole Dubré-Chirat","PO854561","GE","Santé mentale","2025-02-18","","Vice-Président"
"PM857003","PA794982","Julie Delpech","PO854561","GE","Santé mentale","2025-01-20","","Membre"
"PM860130","PA796034","Frank Giletti","PO854343","GE","Vigne, vin et œnologie","2025-01-28","","Membre"
"PM863830","PA795228","Nadège Abomangoli","PO851668","GA","France-Jordanie","2025-02-10","","Membre"
"PM867649","PA793520","Mickaël Cosson","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-03-26","","Membre"
"PM863217","PA721158","Pieyre-Alexandre Anglade","PO851239","GA","France-Islande","2025-02-06","","Membre"
"PM866917","PA841613","Marc de Fleurian","PO854246","GE","VIH et Sida","2025-03-15","2025-03-17","Membre"
"PM865473","PA720846","Bastien Lachaud","PO856882","GA","France-Palestine","2025-02-20","","Membre"
"PM861041","PA333285","Guillaume Garot","PO851442","GA","France-Canada","2025-01-30","","Membre"
"PM864741","PA341981","Marie Récalde","PO851577","GA","France-Congo","2025-02-17","","Membre"
"PM871687","PA794994","Alexandre Portier","PO854525","GE","Chasse et pêche","2025-06-24","","Membre"
"PM864128","PA794138","Ségolène Amiot","PO851734","GA","France-Djibouti","2025-02-11","","Membre"
"PM865652","PA712015","Julien Dive","PO851537","GA","France-Ukraine","2025-02-21","","Membre"
"PM861220","PA267561","Brigitte Barèges","PO854349","GE","Forêt et filière bois","2025-01-30","2025-07-11","Membre"
"PM865039","PA842045","Julie Ozenne","PO854215","GE","Îles anglo-normandes","2025-02-18","","Membre"
"PM864920","PA719528","Jean-François Portarrieu","PO851779","GA","France-Egypte","2025-02-18","","Vice-Président"
"PM867295","PA720468","Sébastien Chenu","PO851477","GA","France-Brésil","2025-03-19","","Vice-Président"
"PM883590","PA719512","Corinne Vignon","PO851834","GA","France-Inde","2026-06-17","","Membre"
"PM854839","PA720992","Jiovanny William","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2024-12-19","","Membre"
"PM859004","PA794530","Matthieu Marchio","PO851522","GA","France-Québec","2025-01-24","","Membre"
"PM862131","PA795330","Eléonore Caroit","PO851319","GA","France-Equateur","2025-01-31","2025-11-12","Vice-Président"
"PM865831","PA608826","Virginie Duby-Muller","PO854471","GE","Handicap et inclusion","2025-03-03","","Membre"
"PM865218","PA719528","Jean-François Portarrieu","PO851789","GA","France-République du Paraguay","2025-02-19","","Vice-Président"
"PM867474","PA795454","Karim Ben Cheikh","PO851960","GEVI","Groupe d'études à vocation internationale sur les Iles du Pacifique","2025-03-20","","Membre"
"PM883156","PA794114","Emmanuel Mandon","PO851884","GA","France-Norvège","2026-06-10","","Membre"
"PM855929","PA794838","Didier Lemaire","PO854423","GE","Polices municipales","2025-01-13","","Membre"
"PM863221","PA841947","Zahia Hamdane","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-02-06","","Membre"
"PM866921","PA841613","Marc de Fleurian","PO854369","GE","Spectacle vivant","2025-03-15","2025-03-17","Membre"
"PM860699","PA793182","Jorys Bovet","PO851284","GA","France-Côte d'Ivoire","2025-01-29","","Membre"
"PM855396","PA774954","Anne-Laure Blin","PO854210","GE","Grande distribution et grande consommation","2025-01-07","","Membre"
"PM864132","PA719778","François Jolivet","PO851557","GA","France-Moldavie","2025-02-11","","Membre"
"PM877300","PA840955","Pierre Pribetich","PO851562","GA","France-Bosnie-Herzégovine","2026-01-01","","Membre"
"PM867832","PA720560","Perrine Goulet","PO854396","GE","Énergies durables et hydrogène","2025-03-27","","Membre"
"PM863400","PA335054","Marietta Karamanli","PO851698","GA","France-Cuba","2025-02-06","","Vice-Président"
"PM860878","PA793980","Charles Fournier","PO851254","GA","France-Algérie","2025-01-29","","Membre"
"PM855575","PA794906","Gabriel Amard","PO854328","GE","Eau et biodiversité","2025-01-08","","Membre"
"PM885157","PA721612","Carole Guillerm","PO851562","GA","France-Bosnie-Herzégovine","2026-09-10","","Membre"
"PM864311","PA840781","Romain Tonussi","PO854168","GE","Tourisme et patrimoine","2025-02-12","","Membre"
"PM854843","PA794886","Sophie Blanc","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2024-12-19","","Membre"
"PM861789","PA721024","Anne Genetet","PO851437","GA","France-Corée du Sud","2025-02-03","","Membre"
"PM865222","PA794470","Félicie Gérard","PO851467","GA","France-Pologne","2025-02-19","","Vice-Président"
"PM872168","PA870010","Sébastien Martin","PO851628","GA","France-Portugal","2025-07-02","2025-11-12","Membre"
"PM861968","PA840979","Corentin Le Fur","PO851638","GA","France-Pakistan","2025-02-03","","Membre"
"PM883160","PA794114","Emmanuel Mandon","PO851442","GA","France-Canada","2026-06-10","","Membre"
"PM855933","PA720138","Laetitia Saint-Paul","PO854444","GE","Cheval","2025-01-14","","Membre"
"PM862879","PA795228","Nadège Abomangoli","PO851542","GA","France-Monaco","2025-01-28","","Vice-Président"
"PM857576","PA721474","Stéphane Viry","PO854476","GE","Cinéma et production audiovisuelle","2025-01-22","","Membre"
"PM858487","PA721182","Frédéric Petit","PO851537","GA","France-Ukraine","2025-01-23","","Membre"
"PM857755","PA841207","Charles Alloncle","PO851628","GA","France-Portugal","2025-01-23","","Membre"
"PM860882","PA793980","Charles Fournier","PO851960","GEVI","Groupe d'études à vocation internationale sur les Iles du Pacifique","2025-01-29","","Membre"
"PM880996","PA794578","Véronique Ludmann","PO854561","GE","Santé mentale","2026-04-16","","Membre"
"PM860269","PA642847","Thibault Bazin","PO851924","GA","France-Sénégal","2025-01-28","","Membre"
"PM863969","PA721202","Éric Coquerel","PO851698","GA","France-Cuba","2025-02-11","","Membre"
"PM885161","PA721612","Carole Guillerm","PO851244","GA","France-Géorgie","2026-09-10","","Membre"
"PM859398","PA795966","Stéphane Rambaud","PO851417","GA","France-Suriname-Guyana","2025-01-27","","Membre"
"PM858666","PA842125","Thomas Lam","PO854189","GE","Simplification administrative","2025-01-23","","Membre"
"PM861793","PA721024","Anne Genetet","PO851663","GA","France-Iran","2025-02-03","","Membre"
"PM857934","PA719528","Jean-François Portarrieu","PO851934","GEVI","Groupe d'études à vocation internationale Taïwan","2025-01-23","","Membre"
"PM860448","PA720822","Bruno Bilde","PO851376","GA","France-Italie","2025-01-28","","Membre"
"PM859577","PA720552","Isabelle Rauch","PO851234","GA","France-Belgique","2025-01-27","","Membre"
"PM858845","PA841367","Christophe Proença","PO854525","GE","Chasse et pêche","2025-01-23","","Membre"
"PM861972","PA840979","Corentin Le Fur","PO851467","GA","France-Pologne","2025-02-03","","Membre"
"PM860627","PA793134","Jérôme Buisson","PO851304","GA","France-Israël","2025-01-29","","Membre"
"PM856056","PA266808","Vincent Rolland","PO854491","GE","Ruralité","2025-01-14","","Membre"
"PM859756","PA842311","Vincent Caure","PO851462","GA","France-Lituanie","2025-01-27","","Membre"
"PM862883","PA795454","Karim Ben Cheikh","PO851219","GA","France-Gambie","2025-02-05","","Vice-Président"
"PM855324","PA719024","Christophe Blanchet","PO854444","GE","Cheval","2025-01-03","","Membre"
"PM875438","PA841151","Alix Fruchon","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-11-20","2026-06-22","Membre"
"PM857580","PA721474","Stéphane Viry","PO854491","GE","Ruralité","2025-01-22","","Membre"
"PM861538","PA796070","Perceval Gaillard","PO851512","GA","France-Mozambique","2025-01-31","","Membre"
"PM860094","PA721764","Olivia Grégoire","PO851376","GA","France-Italie","2025-01-28","","Membre"
"PM863794","PA795228","Nadège Abomangoli","PO851366","GA","France-Cambodge","2025-02-10","","Membre"
"PM860806","PA793158","José Beaurain","PO851376","GA","France-Italie","2025-01-29","","Membre"
"PM856235","PA718850","Pierre Cordier","PO854525","GE","Chasse et pêche","2025-01-15","","Membre"
"PM859935","PA795270","Marie-Agnès Poussier-Winsback","PO851512","GA","France-Mozambique","2025-01-28","","Membre"
"PM858491","PA721182","Frédéric Petit","PO851557","GA","France-Moldavie","2025-01-23","","Membre"
"PM862449","PA719640","Sophie Mette","PO851264","GA","France-Erythrée","2025-02-04","","Membre"
"PM875617","PA642988","Hervé de Lépinau","PO851749","GA","France-Liban","2025-11-26","","Vice-Président"
"PM860273","PA642847","Thibault Bazin","PO854555","GE","Sapeurs-pompiers, sécurité civile et gestion des crises","2025-01-28","","Membre"
"PM863973","PA721202","Éric Coquerel","PO851779","GA","France-Egypte","2025-02-11","","Vice-Président"
"PM858670","PA841981","Catherine Rimbert","PO851542","GA","France-Monaco","2025-01-23","","Membre"
"PM875084","PA842187","Gabrielle Cathala","PO851572","GA","France-Slovénie","2025-11-13","","Membre"
"PM858057","PA794762","Sandrine Dogor-Such","PO851844","GA","France-République d'Autriche","2025-01-23","","Membre"
"PM864884","PA794954","Emeric Salmon","PO854519","GE","Chrétiens d'Orient","2025-02-18","","Membre"
"PM860452","PA794982","Julie Delpech","PO851289","GA","France-Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","2025-01-28","","Membre"
"PM859581","PA720552","Isabelle Rauch","PO851744","GA","France-Andorre","2025-01-27","","Membre"
"PM863539","PA840817","Joël Bruneau","PO851259","GA","France-Lettonie","2025-02-07","","Vice-Président"
"PM862095","PA840979","Corentin Le Fur","PO854323","GE","Logement et écoconstruction","2025-02-03","","Membre"
"PM862807","PA736201","Sophie Taillé-Polian","PO851592","GA","France-Mexique","2025-02-05","","Vice-Président"
"PM878963","PA794798","Françoise Buffet","PO851784","GA","France-Grèce","2026-02-18","","Membre"
"PM858236","PA606545","Jean-Louis Roumégas","PO851784","GA","France-Grèce","2025-01-23","","Membre"
"PM861363","PA719472","Jean-René Cazeneuve","PO854359","GE","Gastronomie, métiers de bouche et arts de la table","2025-01-30","","Membre"
"PM881477","PA841595","Cendrine Chazé","PO851552","GA","France-Arménie","2026-05-05","","Membre"
"PM860631","PA342415","Marie-Noëlle Battistel","PO851612","GA","France-Maroc","2025-01-29","","Membre"
"PM856060","PA266808","Vincent Rolland","PO854168","GE","Tourisme et patrimoine","2025-01-14","","Membre"
"PM860018","PA796062","Thomas Portes","PO854225","GE","Kurdes","2025-01-28","","Président"
"PM859760","PA841657","Anaïs Belouassa-Cherifi","PO851869","GA","France-Macédoine du Nord","2025-01-27","2025-03-10","Membre"
"PM863718","PA793772","Christophe Bex","PO854189","GE","Simplification administrative","2025-02-10","","Membre"
"PM859147","PA794434","Christophe Bentz","PO851844","GA","France-République d'Autriche","2025-01-24","","Membre"
"PM875442","PA841151","Alix Fruchon","PO854205","GE","Insertion professionnelle des jeunes","2025-11-20","2026-06-22","Membre"
"PM865974","PA795636","Benjamin Lucas-Lundy","PO851749","GA","France-Liban","2025-03-03","","Membre"
"PM858415","PA1327","Nicolas Forissier","PO851396","GA","France-Mongolie","2025-01-23","2025-11-12","Membre"
"PM861542","PA796070","Perceval Gaillard","PO851628","GA","France-Portugal","2025-01-31","","Membre"
"PM860810","PA721750","Céline Calvez","PO851804","GA","France-Australie","2025-01-29","","Membre"
"PM863185","PA794234","François Gernigon","PO851284","GA","France-Côte d'Ivoire","2025-02-06","","Membre"
"PM866885","PA796018","Danielle Simonnet","PO854225","GE","Kurdes","2025-03-05","","Vice-Président"
"PM859326","PA794114","Emmanuel Mandon","PO851749","GA","France-Liban","2025-01-25","","Membre"
"PM862453","PA719640","Sophie Mette","PO851482","GA","France-Madagascar","2025-02-04","","Membre"
"PM875621","PA795124","Didier Padey","PO854268","GE","Montagne","2025-11-26","","Membre"
"PM864096","PA719640","Sophie Mette","PO851894","GA","France-Indonésie","2025-02-11","","Vice-Président"
"PM863364","PA794854","Iñaki Echaniz","PO851269","GA","France-Argentine","2025-02-06","","Vice-Président"
"PM859505","PA795176","Nicolas Metzdorf","PO854195","GE","Antisémitisme","2025-01-27","","Membre"
"PM858061","PA840967","René Lioret","PO851939","GEVI","Groupe d'études à vocation internationale sur la Biélorussie","2025-01-23","2025-01-28","Membre"
"PM862019","PA795330","Eléonore Caroit","PO851269","GA","France-Argentine","2025-01-31","2025-11-12","Vice-Président"
"PM861900","PA840979","Corentin Le Fur","PO851577","GA","France-Congo","2025-02-03","","Membre"
"PM865719","PA841613","Marc de Fleurian","PO851254","GA","France-Algérie","2025-02-24","2025-02-25","Membre"
"PM864275","PA840947","Catherine Hervieu","PO854454","GE","Aéronautique et espace","2025-02-11","","Membre"
"PM863543","PA2952","Jean-Luc Warsmann","PO851739","GA","France-Luxembourg","2025-02-07","","Vice-Président"
"PM862811","PA608416","Patrick Hetzel","PO851673","GA","France-Allemagne","2025-02-05","","Membre"
"PM858240","PA267780","Agnès Firmin Le Bodo","PO854486","GE","Maladies rares","2025-01-23","","Membre"
"PM881481","PA841595","Cendrine Chazé","PO851457","GA","France-Ethiopie","2026-05-05","","Membre"
"PM860022","PA719138","Michel Castellani","PO854308","GE","Littoral","2025-01-28","","Membre"
"PM854986","PA719404","Didier Le Gac","PO854293","GE","Langues et cultures régionales","2024-12-23","","Membre"
"PM863722","PA721270","Stéphane Peu","PO854323","GE","Logement et écoconstruction","2025-02-10","","Membre"
"PM859151","PA794434","Christophe Bentz","PO851522","GA","France-Québec","2025-01-24","","Membre"
"PM866097","PA793182","Jorys Bovet","PO854449","GE","Alzheimer et maladies neurodégénératives","2025-03-04","","Secrétaire"
"PM865365","PA842255","Anne Sicard","PO851673","GA","France-Allemagne","2025-02-19","","Membre"
"PM878533","PA796018","Danielle Simonnet","PO854323","GE","Logement et écoconstruction","2026-02-05","","Membre"
"PM855897","PA721296","Guillaume Gouffier Valente","PO854195","GE","Antisémitisme","2025-01-13","","Membre"
"PM860201","PA795900","Marine Hamelet","PO851334","GA","France-Gabon","2025-01-28","","Président"
"PM859330","PA794114","Emmanuel Mandon","PO851396","GA","France-Mongolie","2025-01-25","","Membre"
"PM865544","PA793772","Christophe Bex","PO854235","GE","Illettrisme et illectronisme","2025-02-19","","Vice-Président"
"PM864812","PA794886","Sophie Blanc","PO851612","GA","France-Maroc","2025-02-18","","Membre"
"PM867187","PA795350","Frédéric Valletoux","PO854519","GE","Chrétiens d'Orient","2025-03-12","","Secrétaire"
"PM862023","PA721024","Anne Genetet","PO851412","GA","France-Asie centrale","2025-02-03","","Vice-Président"
"PM856987","PA720846","Bastien Lachaud","PO854406","GE","Enseignement privé","2025-01-20","","Membre"
"PM865723","PA841613","Marc de Fleurian","PO851249","GA","France-Arabie Saoudite","2025-02-24","2025-02-25","Membre"
"PM871937","PA794570","Alexandre Sabatou","PO851724","GA","France-Espagne","2025-07-01","","Membre"
"PM857898","PA794470","Félicie Gérard","PO851628","GA","France-Portugal","2025-01-23","","Membre"
"PM866634","PA795120","Marina Ferrari","PO854268","GE","Montagne","2025-03-05","2025-11-12","Vice-Président"
"PM865190","PA643089","Jean-Louis Thiériot","PO851214","GA","France-Estonie","2025-02-19","","Membre"
"PM862202","PA793928","Edwige Diaz","PO851304","GA","France-Israël","2025-02-04","","Membre"
"PM854990","PA720342","Nicole Le Peih","PO854288","GE","Attractivité économique et export","2024-12-23","","Membre"
"PM868277","PA794710","Julien Brugerolles","PO854491","GE","Ruralité","2025-04-03","","Membre"
"PM855288","PA2960","Éric Woerth","PO854168","GE","Tourisme et patrimoine","2025-01-02","2026-03-01","Membre"
"PM864024","PA841769","Éric Michoux","PO851784","GA","France-Grèce","2025-02-11","","Membre"
"PM858988","PA794530","Matthieu Marchio","PO851914","GA","France-Etats-Unis","2025-01-24","","Membre"
"PM855467","PA643175","Stella Dupont","PO854391","GE","Villes et banlieues","2025-01-07","","Membre"
"PM884930","PA841801","Danièle Carteron","PO851350","GA","France-Japon","2026-07-26","","Membre"
"PM867191","PA331973","Pascale Got","PO854343","GE","Vigne, vin et œnologie","2025-02-19","","Vice-Président"
"PM864203","PA841693","Jean Laussucq","PO854195","GE","Antisémitisme","2025-02-11","2025-07-11","Membre"
"PM867903","PA335054","Marietta Karamanli","PO854497","GE","Réseaux sociaux","2025-03-25","","Secrétaire"
"PM856991","PA720846","Bastien Lachaud","PO854375","GE","Ouïghours","2025-01-20","","Membre"
"PM860949","PA335054","Marietta Karamanli","PO851914","GA","France-Etats-Unis","2025-01-29","","Membre"
"PM856378","PA793664","Marie Pochon","PO854491","GE","Ruralité","2025-01-15","","Membre"
"PM855646","PA607090","Jean-Pierre Vigier","PO854251","GE","Autisme","2025-01-09","","Membre"
"PM871941","PA794570","Alexandre Sabatou","PO851334","GA","France-Gabon","2025-07-01","2025-09-07","Membre"
"PM867370","PA794466","Jean Moulliere","PO854240","GE","Commerce, artisanat et métiers d'art","2025-03-19","2026-03-26","Membre"
"PM854914","PA331973","Pascale Got","PO854349","GE","Forêt et filière bois","2024-12-20","","Membre"
"PM857289","PA840171","Emmanuel Grégoire","PO854333","GE","Industries du luxe","2025-01-22","2026-04-09","Membre"
"PM856557","PA719756","Christine Le Nabour","PO854471","GE","Handicap et inclusion","2025-01-16","","Membre"
"PM868281","PA794710","Julien Brugerolles","PO851442","GA","France-Canada","2025-04-03","","Membre"
"PM855825","PA794502","Michaël Taverne","PO854540","GE","Sécurité privée","2025-01-13","","Membre"
"PM860595","PA722150","Sacha Houlié","PO851512","GA","France-Mozambique","2025-01-29","","Membre"
"PM866204","PA793230","Angélique Ranc","PO851779","GA","France-Egypte","2025-03-05","","Membre"
"PM856736","PA794058","Justine Gruet","PO854396","GE","Énergies durables et hydrogène","2025-01-17","","Membre"
"PM858992","PA794530","Matthieu Marchio","PO851376","GA","France-Italie","2025-01-24","","Membre"
"PM858379","PA1327","Nicolas Forissier","PO851904","GA","France-Emirats Arabes Unis","2025-01-23","2025-11-12","Membre"
"PM857647","PA840997","Benoît Biteau","PO851234","GA","France-Belgique","2025-01-23","","Membre"
"PM860774","PA720190","Bertrand Sorre","PO851617","GA","France-Kenya Ouganda Tanzanie","2025-01-29","","Membre"
"PM856915","PA719472","Jean-René Cazeneuve","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-17","","Membre"
"PM855471","PA794434","Christophe Bentz","PO854491","GE","Ruralité","2025-01-08","","Membre"
"PM858558","PA795900","Marine Hamelet","PO851678","GA","France-Togo","2025-01-23","","Membre"
"PM870421","PA721486","Christophe Naegelen","PO851714","GA","France-Albanie","2025-06-03","","Membre"
"PM857826","PA841621","Auguste Evrard","PO851658","GA","France-Danemark","2025-01-23","","Membre"
"PM860953","PA335054","Marietta Karamanli","PO851612","GA","France-Maroc","2025-01-29","","Membre"
"PM856382","PA841479","Frédéric Weber","PO854338","GE","Enjeux frontaliers et transfrontaliers","2025-01-15","","Membre"
"PM855650","PA841837","Robert Le Bourgeois","PO854519","GE","Chrétiens d'Orient","2025-01-09","","Membre"
"PM859469","PA841893","Céline Thiébault-Martinez","PO851673","GA","France-Allemagne","2025-01-27","","Membre"
"PM855037","PA793254","Julien Rancoule","PO854491","GE","Ruralité","2024-12-23","","Membre"
"PM861864","PA1630","Michel Herbillon","PO851904","GA","France-Emirats Arabes Unis","2025-02-03","","Membre"
"PM857293","PA840171","Emmanuel Grégoire","PO854323","GE","Logement et écoconstruction","2025-01-22","2026-04-09","Membre"
"PM856561","PA720468","Sébastien Chenu","PO854273","GE","Discriminations et LGBTQI-phobies","2025-01-16","","Membre"
"PM859648","PA721296","Guillaume Gouffier Valente","PO851437","GA","France-Corée du Sud","2025-01-27","","Membre"
"PM862775","PA841701","Léa Balage El Mariky","PO851703","GA","France-Afghanistan","2025-02-05","","Vice-Président"
"PM855216","PA840673","Valérie Rossi","PO854278","GE","Déserts médicaux et accès aux soins","2024-12-28","2025-05-26","Membre"
"PM858916","PA793398","Jérémie Patrier-Leitus","PO854168","GE","Tourisme et patrimoine","2025-01-24","","Membre"
"PM856740","PA794058","Justine Gruet","PO854174","GE","Gestion des déchets, économie circulaire et économie verte","2025-01-17","","Membre"
"PM863686","PA335612","Jean-Paul Lecoq","PO851517","GA","France-Russie","2025-02-10","","Vice-Président"
"PM859827","PA267794","Michèle Tabarot","PO854454","GE","Aéronautique et espace","2025-01-28","","Membre"
"PM862954","PA795864","Pierre Cazeneuve","PO851324","GA","France-Niger","2025-01-27","","Membre"
"PM858383","PA1327","Nicolas Forissier","PO851914","GA","France-Etats-Unis","2025-01-23","2025-11-12","Membre"
