"Identifiant de la nomination","Identifiant du député","Prénom et nom du député","Identifiant de l'organe","Type de l'organe","Libellé de l'organe","Début de la nomination","Fin de la nomination","Qualité de la nomination"
"PM855019","PA335054","Marietta Karamanli","PO854391","GE","Villes et banlieues","2024-12-23","","Membre"
"PM854900","PA840903","Paul Christophle","PO854578","GE","Racisme et discriminations raciales ou religieuses","2024-12-20","","Membre"
"PM857275","PA2952","Jean-Luc Warsmann","PO854189","GE","Simplification administrative","2025-01-22","","Membre"
"PM866011","PA795636","Benjamin Lucas-Lundy","PO851960","GEVI","Groupe d'études à vocation internationale sur les Iles du Pacifique","2025-03-03","","Membre"
"PM863489","PA608826","Virginie Duby-Muller","PO851764","GA","France-Singapour","2025-02-06","","Membre"
"PM855811","PA793432","Franck Allisio","PO854454","GE","Aéronautique et espace","2025-01-13","","Membre"
"PM862757","PA841067","Alexandre Allegret-Pilot","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-05","","Membre"
"PM858186","PA841351","Emmanuel Duplessy","PO851628","GA","France-Portugal","2025-01-23","","Membre"
"PM860581","PA841633","Peio Dufau","PO854293","GE","Langues et cultures régionales","2025-01-28","","Co-Président"
"PM863668","PA795868","Jean-Victor Castor","PO851417","GA","France-Suriname-Guyana","2025-02-10","","Vice-Président"
"PM859097","PA720838","Soumya Bourouaha","PO851371","GA","France-Sri Lanka-Maldives","2025-01-24","","Président"
"PM856109","PA720022","Michel Lauzzana","PO854380","GE","Cancer","2025-01-14","","Membre"
"PM859809","PA267794","Michèle Tabarot","PO851673","GA","France-Allemagne","2025-01-28","","Membre"
"PM862936","PA842187","Gabrielle Cathala","PO851339","GA","France-Vietnam","2025-01-27","","Vice-Président"
"PM858365","PA1327","Nicolas Forissier","PO851366","GA","France-Cambodge","2025-01-23","2025-11-12","Membre"
"PM861492","PA720370","Ludovic Mendes","PO851234","GA","France-Belgique","2025-01-30","","Membre"
"PM857633","PA695512","Guillaume Lepers","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-22","2026-04-20","Membre"
"PM860760","PA720552","Isabelle Rauch","PO851739","GA","France-Luxembourg","2025-01-29","","Président"
"PM874047","PA841381","Sophie Pantel","PO851724","GA","France-Espagne","2025-10-21","","Membre"
"PM864579","PA330008","Xavier Breton","PO851971","GEVI","Groupe d'études à vocation internationale sur les relations avec le Saint Siège","2025-02-14","","Membre"
"PM860147","PA721314","Raphaël Schellenberger","PO851673","GA","France-Allemagne","2025-01-28","","Membre"
"PM856901","PA840997","Benoît Biteau","PO854380","GE","Cancer","2025-01-17","","Membre"
"PM863847","PA795228","Nadège Abomangoli","PO851597","GA","France-Monténégro","2025-02-10","","Membre"
"PM859276","PA793416","Freddy Sertin","PO851502","GA","France-Pérou","2025-01-25","2025-03-05","Membre"
"PM858544","PA795278","Béatrice Bellamy","PO851442","GA","France-Canada","2025-01-23","2026-05-23","Membre"
"PM861671","PA795950","David Amiel","PO851279","GA","France-Slovaquie","2025-01-31","2025-11-12","Membre"
"PM861058","PA841495","Maxime Amblard","PO851437","GA","France-Corée du Sud","2025-01-30","","Membre"
"PM857812","PA720342","Nicole Le Peih","PO851547","GA","France-Afrique australe","2025-01-23","","Membre"
"PM864758","PA793736","Hadrien Clouet","PO854318","GE","Pauvreté, précarité, non-recours aux droits et sans-abri","2025-02-17","","Membre"
"PM860326","PA720908","Naïma Moutchou","PO851274","GA","France-Bénin","2025-01-28","2025-11-12","Membre"
"PM859455","PA721004","Amélia Lakrafi","PO851361","GA","France-Koweit","2025-01-27","","Membre"
"PM855023","PA335054","Marietta Karamanli","PO854497","GE","Réseaux sociaux","2024-12-23","","Membre"
"PM879569","PA795374","Pascal Lecamp","PO856864","GA","France-Angola","2026-03-24","","Membre"
"PM858723","PA719404","Didier Le Gac","PO851427","GA","France-Cap-Vert","2025-01-23","","Membre"
"PM861850","PA795330","Eléonore Caroit","PO851355","GA","France-Amérique centrale","2025-01-31","2025-11-12","Vice-Président"
"PM875137","PA794894","Anaïs Sabatini","PO854195","GE","Antisémitisme","2025-11-17","","Membre"
"PM878837","PA794130","Andy Kerbrat","PO854246","GE","VIH et Sida","2026-02-12","","Membre"
"PM864937","PA794466","Jean Moulliere","PO851234","GA","France-Belgique","2025-02-18","2026-03-26","Vice-Président"
"PM863493","PA608826","Virginie Duby-Muller","PO851648","GA","France-Turquie","2025-02-06","","Membre"
"PM859634","PA840983","Bartolomé Lenoir","PO854278","GE","Déserts médicaux et accès aux soins","2025-01-27","","Membre"
"PM862761","PA841067","Alexandre Allegret-Pilot","PO854491","GE","Ruralité","2025-02-05","","Membre"
"PM858190","PA841351","Emmanuel Duplessy","PO851254","GA","France-Algérie","2025-01-23","","Membre"
"PM855202","PA267200","Sébastien Huyghe","PO854333","GE","Industries du luxe","2024-12-27","","Membre"
