"Nom","Regime juridique","Site internet","Nombre de réunions annuelles","Député","Rôle","Nomination"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Mathieu Lefèvre","Membre titulaire","2022-10-21"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"Mme Nathalie Da Conceicao Carvalho","Membre titulaire","2024-11-06"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Pascal Popelin","Membre titulaire","2012-09-28"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Yanick Paternotte","Membre titulaire","2011-12-01"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Gilles Carrez","Membre titulaire","2017-10-25"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"Mme Maud Gatel","Membre titulaire","2022-10-21"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Mathieu Lefèvre","Membre titulaire","2024-11-06"
"Comité stratégique auprès du conseil de surveillance de la société du Grand Paris","Article 8 de la loi n° 2010-597 du 3 juin 2010","https://www.societedugrandparis.fr/sgp/identite-et-organisation",,"M. Sébastien Pietrasanta","Membre titulaire","2012-09-28"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Bernard Perrut","Membre titulaire","2007-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Joël Giraud","Membre titulaire","2012-09-03"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Stéphane Alaize","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Daniel Fasquelle","Membre titulaire","2012-01-31"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Louise Moreau","Membre titulaire","1986-06-04"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Michel Couve","Membre titulaire","2010-04-26"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Barrau","Membre titulaire","1989-05-14"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Sébastien Vialatte","Membre titulaire","2007-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Edith Gueugneau","Membre titulaire","2012-09-03"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Suguenot","Membre titulaire","2012-01-31"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Yvon Montané","Membre titulaire","1998-05-18"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Barrau","Membre titulaire","1992-06-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Suguenot","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Michel Suchod","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jacques Bascou","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Bernard Perrut","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Didier Migaud","Membre titulaire","1992-06-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Didier Migaud","Membre titulaire","1988-11-30"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Henri Bertholet","Membre titulaire","1998-04-09"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Pierre Grand","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Henri Nayrou","Membre suppléant","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Néri","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Nicole Péry","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. André Capet","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Manuéla Kéclard-Mondésir","Membre titulaire","2018-06-29"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Christian Cuvilliez","Membre suppléant","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Léonce Deprez","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Michel Couve","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Luc Carvounas","Membre titulaire","2017-11-21"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean Beaufils","Membre titulaire","1988-11-28"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Émilie Bonnivard","Membre titulaire","2017-11-21"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean Proriol","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Fabien Lainé","Membre titulaire","2017-11-21"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Arlette Franco","Membre titulaire","2007-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Daniel Fasquelle","Membre titulaire","2012-09-03"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Léonce Deprez","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Paul Dupré","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Michel Couve","Membre titulaire","2012-01-31"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Suguenot","Membre titulaire","2007-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Pascale Got","Membre titulaire","2012-09-03"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. André Capet","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Bernard Perrut","Membre titulaire","2012-01-31"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Christian Cuvilliez","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Alain Chastagnol","Membre titulaire","1986-06-04"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Sébastien Vialatte","Membre titulaire","2012-01-31"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Léonce Deprez","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Sébastien Vialatte","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Lionnel Luca","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Joël Beaugendre","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Gabrielle Louis-Carabin","Membre suppléante","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Maurice Giro","Membre titulaire","2002-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Denis Jacquat","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Michel Couve","Membre titulaire","1993-05-27"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean Launay","Membre titulaire","2001-01-24"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Béatrice Marre","Membre titulaire","1997-10-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Yvon Montané","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Paul Chanteguet","Membre titulaire","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Pierre Carassus","Membre suppléant","2000-10-12"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Bruno Nestor Azerot","Membre titulaire","2017-11-21"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","Mme Frédérique Lardet","Membre titulaire","2017-11-21"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Daniel Fasquelle","Membre titulaire","2007-08-01"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Jean-Michel Couve","Membre titulaire","2012-09-03"
"Conseil national du tourisme","Article D. 122-7 du code du tourisme",,"0","M. Tony Dreyfus","Membre titulaire","1997-10-01"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"Mme Martine Pinville","Membre titulaire","2012-09-18"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"M. François Gernigon","Membre titulaire","2024-11-06"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"Mme Joëlle Huillier","Membre titulaire","2016-06-07"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"M. Jean-François Chossy","Membre titulaire","2007-08-01"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"M. Jean-François Chossy","Membre titulaire","2005-05-10"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"Mme Valérie Rosso-Debord","Membre titulaire","2011-05-28"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"Mme Christine Le Nabour","Membre titulaire","2017-10-10"
"Conseil de la Caisse nationale de solidarité pour l'autonomie","Article L. 14-10-3 du code de l’action sociale et des familles","https://www.cnsa.fr/qui-sommes-nous/gouvernance",,"Mme Monique Iborra","Membre titulaire","2022-10-21"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","Mme Geneviève Colot","Membre suppléante","2005-10-20"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","M. André Schneider","Membre suppléant","1997-09-19"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","Mme Sandrine Doucet","Membre titulaire","2012-10-04"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","M. Frédéric Reiss","Membre suppléant","2012-10-04"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","M. Xavier Breton","Membre titulaire","2017-12-21"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","Mme Béatrice Descamps","Membre suppléante","2017-12-21"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","Mme Geneviève Colot","Membre titulaire","2011-06-28"
"Observatoire national de la sécurité et de l'accessibilité des établissements d'enseignement","Article L. 239-2 du code de l'éducation","http://www.education.gouv.fr/ons/cid85832/presentation-missions-et-organisation-de-l-ons.html","77","M. Yvan Lachaud","Membre suppléant","2011-01-14"
